Date,Real GDP Growth,Inflation Estimate,Effective FFR,M2 Divisia Growth,Active Population Level,,
1983/01/01,1.11282,0.699,8.77,4.92186,107558699,,
1983/04/01,2.0657,0.741,8.98,2.76052,108173238.8,,
1983/07/01,1.74851,1.057,9.45,1.73706,109067161.3,,
1983/10/01,1.84563,0.755,9.47,1.99716,109175248,,
1984/01/01,1.76096,1.008,9.91,1.77036,109487938,,
1984/04/01,1.52283,0.852,11.06,2.13987,110644171.8,,
1984/07/01,0.7159,0.885,11.3,1.5166,110935044.4,,
1984/10/01,0.5785,0.745,8.38,2.40328,111371844.7,,
1985/01/01,0.78015,0.983,8.58,2.69488,111986955.2,,
1985/04/01,0.66786,0.642,7.53,1.68124,112310661.3,,
1985/07/01,1.26655,0.601,7.92,2.31884,112658095.8,,
1985/10/01,0.49135,0.558,8.27,1.72358,113313858.3,,
1986/01/01,0.7349,0.496,7.48,1.22462,113917899.9,,
1986/04/01,0.23828,0.378,6.92,2.6341,114606064.5,,
1986/07/01,0.70726,0.41,5.89,2.55189,115183258.3,,
1986/10/01,0.29724,0.542,6.91,2.34682,115653767.8,,
1987/01/01,0.54913,0.634,6.13,1.41307,116048603.4,,
1987/04/01,0.86688,0.69,6.73,0.86852,116583595.7,,
1987/07/01,0.61879,0.755,7.22,0.65862,116883852.4,,
1987/10/01,1.46628,0.793,6.77,1.20159,117452826,,
1988/01/01,0.31708,0.782,6.58,1.55966,117765716.1,,
1988/04/01,1.10207,0.968,7.51,1.96405,117967113.5,,
1988/07/01,0.3237,1.188,8.19,0.98127,118675880.9,,
1988/10/01,1.08102,0.86,8.76,0.9196,119152522.1,,
1989/01/01,0.81574,1.037,9.85,0.54575,119785869.3,,
1989/04/01,0.53582,1.06,9.53,0.61138,120132110.1,,
1989/07/01,0.46298,0.728,9.02,1.83627,120641346.1,,
1989/10/01,-0.07502,0.71,8.45,2.05312,121100908.3,,
1990/01/01,0.86339,1.072,8.28,1.4679,122194351.4,,
1990/04/01,0.05051,1.114,8.29,0.8772,122308291.8,,
1990/07/01,-0.2843,0.854,8.2,0.95741,122432363.7,,
1990/10/01,-1.26036,0.742,7.31,0.94631,122706422.4,,
1991/01/01,-0.7745,0.974,6.12,1.10499,122589227.3,,
1991/04/01,0.45963,0.731,5.9,1.21862,122911433,,
1991/07/01,0.1489,0.779,5.45,0.24065,122964965.9,,
1991/10/01,0.00541,0.592,4.43,0.58756,123362394.3,,
1992/01/01,0.90012,0.371,3.98,0.65572,123794474.5,,
1992/04/01,0.74743,0.599,3.76,0.18662,124663178.4,,
1992/07/01,0.61691,0.487,3.22,-0.05228,125165827,,
1992/10/01,0.69505,0.687,2.92,0.96783,124932612.4,,
1993/01/01,-0.1286,0.558,3.07,-0.49184,125020927,,
1993/04/01,0.27593,0.594,3.04,0.53506,125723617.7,,
1993/07/01,0.13628,0.593,3.09,0.32776,125944979.3,,
1993/10/01,1.03638,0.544,2.96,0.848,126348878.7,,
1994/01/01,0.69937,0.477,3.34,0.05273,126664707,,
1994/04/01,1.05978,0.482,4.25,0.33816,126846074.3,,
1994/07/01,0.25962,0.571,4.73,-0.03222,127312746.8,,
1994/10/01,0.83778,0.541,5.45,0.1742,128043079.7,,
1995/01/01,0.0856,0.541,5.98,-0.04849,128168194.4,,
1995/04/01,0.01509,0.48,6,0.97551,128399988.6,,
1995/07/01,0.52565,0.491,5.8,1.67537,128663575,,
1995/10/01,0.37029,0.481,5.6,1.10674,128783824.3,,
1996/01/01,0.49854,0.48,5.31,1.13286,129062587.8,,
1996/04/01,1.37907,0.413,5.27,1.29367,129822737.6,,
1996/07/01,0.57006,0.326,5.3,0.76541,130500875.1,,
1996/10/01,0.71766,0.534,5.29,1.60182,131103968.6,,
1997/01/01,0.37922,0.594,5.39,1.36939,131692335.7,,
1997/04/01,1.37158,0.202,5.56,1.07676,132213901,,
1997/07/01,0.91626,0.433,5.54,1.35192,132790914.7,,
1997/10/01,0.54335,0.328,5.5,1.7819,132945769.6,,
1998/01/01,0.74161,0.146,5.49,1.90171,133362280.1,,
1998/04/01,0.65023,0.236,5.56,1.79118,133558915.6,,
1998/07/01,0.93674,0.429,5.51,1.38889,133996620.4,,
1998/10/01,1.30977,0.275,4.68,2.82901,134435071.9,,
1999/01/01,0.69042,0.319,4.81,1.97505,135020116.4,,
1999/04/01,0.55796,0.378,4.76,1.34095,135113731.1,,
1999/07/01,1.00276,0.355,5.22,1.11659,135440431.4,,
1999/10/01,1.33698,0.551,5.3,1.64096,135922042.6,,
2000/01/01,0.11103,0.662,5.85,1.75561,138091830.1,,
2000/04/01,1.56797,0.621,6.53,1.57989,138290588.3,,
2000/07/01,-0.17129,0.585,6.52,0.76104,138123069.8,,
2000/10/01,0.32816,0.541,6.4,1.76175,138587303.4,,
2001/01/01,-0.55155,0.654,5.31,2.74453,139454973.6,,
2001/04/01,0.38479,0.603,3.97,2.51295,139102361.1,,
2001/07/01,-0.65956,0.392,3.07,1.82648,139207082.2,,
2001/10/01,0.02156,0.311,1.82,2.73964,139778619,,
2002/01/01,0.60991,0.322,1.73,1.7212,140051008.4,,
2002/04/01,0.39201,0.346,1.75,0.83985,140269249.2,,
2002/07/01,0.14936,0.481,1.75,1.57298,140535757.8,,
2002/10/01,-0.11292,0.571,1.24,2.46024,140740883.6,,
2003/01/01,0.30715,0.498,1.25,1.46577,141315313.2,,
2003/04/01,0.66983,0.344,1.22,2.12264,141850984.1,,
2003/07/01,1.41523,0.566,1.01,1.80821,141643035.5,,
2003/10/01,0.91227,0.615,0.98,0.1658,142073029.5,,
2004/01/01,0.37771,0.705,1,0.48657,141923752.4,,
2004/04/01,0.55929,0.8,1.03,2.42435,142130370.7,,
2004/07/01,0.69114,0.639,1.61,0.83304,142489747.8,,
2004/10/01,0.77168,0.771,2.16,1.50124,143047817,,
2005/01/01,0.89676,0.793,2.63,0.40733,143192006.2,,
2005/04/01,0.27163,0.725,3.04,1.06077,143777891.7,,
2005/07/01,0.52984,0.905,3.62,0.96694,144435316.9,,
2005/10/01,0.31504,0.806,4.16,1.48035,144728949.5,,
2006/01/01,1.12781,0.703,4.59,1.31027,145131621,,
2006/04/01,0.01953,0.882,4.99,1.42128,145627495.9,,
2006/07/01,-0.1074,0.695,5.25,0.83596,146260853.8,,
2006/10/01,0.58645,0.374,5.24,1.79109,146749072.4,,
2007/01/01,0.07191,0.953,5.26,1.66363,147301997.2,,
2007/04/01,0.41366,0.667,5.25,1.96417,146913435,,
2007/07/01,0.34233,0.518,4.94,0.79678,147324651.7,,
2007/10/01,0.35465,0.423,4.24,1.40544,147776825,,
2008/01/01,-0.62613,0.351,2.61,2.27626,147732095,,
2008/04/01,0.35369,0.505,2,1.75121,147955031.2,,
2008/07/01,-0.77037,0.752,1.81,0.3887,148271939.4,,
2008/10/01,-2.41057,0.237,0.16,3.63929,148417679.7,,
2009/01/01,-1.36632,-0.049,0.18,3.62647,147749674.5,,
2009/04/01,-0.37505,-0.175,0.21,1.16375,148201355.6,,
2009/07/01,0.13156,0.108,0.15,-0.47745,147709631.4,,
2009/10/01,0.8348,0.328,0.12,1.0652,147073242.1,,
2010/01/01,0.30069,0.272,0.16,0.33582,146995972.4,,
2010/04/01,0.77544,0.487,0.18,0.97013,147499600,,
2010/07/01,0.55926,0.301,0.19,0.13626,147155818.6,,
2010/10/01,0.30174,0.585,0.18,1.88845,147125169.5,,
2011/01/01,-0.4188,0.515,0.14,1.55494,146244399.5,,
2011/04/01,0.4956,0.657,0.09,1.68605,146475975.2,,
2011/07/01,-0.25149,0.617,0.08,3.74212,146637152.2,,
2011/10/01,0.91197,0.12,0.07,2.39177,146792123.4,,
2012/01/01,0.63827,0.606,0.13,1.9557,146922581.9,,
2012/04/01,0.27735,0.402,0.16,1.20412,147256465.2,,
2012/07/01,-0.03481,0.516,0.14,1.38294,147208446.7,,
2012/10/01,-0.09674,0.507,0.16,2.94294,147717715.9,,
2013/01/01,0.70496,0.398,0.14,1.59253,147187656.2,,
2013/04/01,-0.03077,0.284,0.09,0.96712,147492356.1,,
2013/07/01,0.58097,0.47,0.08,1.00966,147513582.3,,
2013/10/01,0.49728,0.596,0.09,2.48399,147029382.5,,
2014/01/01,-0.52908,0.416,0.08,1.59697,147195883.4,,
2014/04/01,1.09823,0.564,0.1,1.20923,147369941,,
2014/07/01,0.94625,0.436,0.09,0.98728,147750701.6,,
2014/10/01,0.23247,0.166,0.12,1.82814,147981506,,
2015/01/01,0.63968,-0.036,0.11,1.85991,148000806.9,,
2015/04/01,0.39958,0.541,0.13,0.90262,148546243.5,,
2015/07/01,0.11107,0.297,0.14,0.95219,148181373.9,,
2015/10/01,-0.06657,-0.009,0.24,1.80332,148660163.6,,
2016/01/01,0.41077,-0.08,0.36,2.13748,149558681.8,,
2016/04/01,0.12346,0.704,0.38,1.62553,149658191.5,,
2016/07/01,0.3957,0.277,0.4,1.35609,150160799.1,,
2016/10/01,0.30248,0.525,0.54,1.89084,150374321.4,,
2017/01/01,0.27781,0.517,0.79,1.35872,150272393.5,,
2017/04/01,0.34812,0.31,1.04,1.25858,150635616.2,,
2017/07/01,0.6466,0.501,1.15,0.87052,151197194.5,,
2017/10/01,0.83735,0.686,1.3,1.35827,150882841.5,,
2018/01/01,0.56911,0.612,1.51,0.60782,151723815.9,,
2018/04/01,0.56411,0.854,1.82,0.97589,151947920.6,,
2018/07/01,0.56448,0.336,1.95,0.76976,151962727.3,,
2018/10/01,0.03519,0.454,2.27,1.01793,152539295.9,,
2019/01/01,0.43799,0.386,2.41,1.1234,152432568.5,,
2019/04/01,0.55692,0.556,2.38,1.24003,152475517.8,,
2019/07/01,0.74367,0.326,2.04,1.73807,153138559.6,,
2019/10/01,0.29735,0.366,1.55,2.48294,153465049.8,,
2020/01/01,-1.27204,0.402,0.65,2.25207,152739569.5,,
2020/04/01,-8.52843,-0.375,0.08,13.06825,148481853.6,,
2020/07/01,7.80624,0.861,0.09,4.09142,149662952.3,,
2020/10/01,0.92239,0.631,0.09,3.19317,150391612.7,,
2021/01/01,1.55074,1.237,0.07,3.40752,149510384,,
2021/04/01,1.68426,1.54,0.08,3.7867,150567262.3,,
2021/07/01,0.5742,1.507,0.08,1.95756,151006193,,
2021/10/01,1.60805,1.653,0.08,2.9016,151270838.3,,
